Row ID,Sales,Quantity,Discount,Profit,Product ID,Order ID
1,261.96,2,0,41.9136,FUR-BO-10001798,CA-2016-152156
2,731.94,3,0,219.582,FUR-CH-10000454,CA-2016-152156
3,14.62,2,0,6.8714,OFF-LA-10000240,CA-2016-138688
4,957.5775,5,0.45,-383.031,FUR-TA-10000577,US-2015-108966
5,22.368,2,0.2,2.5164,OFF-ST-10000760,US-2015-108966
6,48.86,7,0,14.1694,FUR-FU-10001487,CA-2014-115812
7,7.28,4,0,1.9656,OFF-AR-10002833,CA-2014-115812
8,907.152,6,0.2,90.7152,TEC-PH-10002275,CA-2014-115812
9,18.504,3,0.2,5.7825,OFF-BI-10003910,CA-2014-115812
10,114.9,5,0,34.47,OFF-AP-10002892,CA-2014-115812
11,1706.184,9,0.2,85.3092,FUR-TA-10001539,CA-2014-115812
12,911.424,4,0.2,68.3568,TEC-PH-10002033,CA-2014-115812
13,15.552,3,0.2,5.4432,OFF-PA-10002365,CA-2017-114412
14,407.976,3,0.2,132.5922,OFF-BI-10003656,CA-2016-161389
15,68.81,5,0.8,-123.858,OFF-AP-10002311,US-2015-118983
16,2.544,3,0.8,-3.816,OFF-BI-10000756,US-2015-118983
17,665.88,6,0,13.3176,OFF-ST-10004186,CA-2014-105893
18,55.5,2,0,9.99,OFF-ST-10000107,CA-2014-167164
19,8.56,2,0,2.4824,OFF-AR-10003056,CA-2014-143336
20,213.48,3,0.2,16.011,TEC-PH-10001949,CA-2014-143336
21,22.72,4,0.2,7.384,OFF-BI-10002215,CA-2014-143336
22,19.46,7,0,5.0596,OFF-AR-10000246,CA-2016-137330
23,60.34,7,0,15.6884,OFF-AP-10001492,CA-2016-137330
24,71.372,2,0.3,-1.0196,FUR-CH-10002774,US-2017-156909
25,1044.63,3,0,240.2649,FUR-TA-10000577,CA-2015-106320
26,11.648,2,0.2,4.2224,OFF-BI-10001634,CA-2016-121755
27,90.57,3,0,11.7741,TEC-AC-10003027,CA-2016-121755
28,3083.43,7,0.5,-1665.0522,FUR-BO-10004834,US-2015-150630
29,9.618,2,0.7,-7.0532,OFF-BI-10000474,US-2015-150630
30,124.2,3,0.2,15.525,FUR-FU-10004848,US-2015-150630
31,3.264,2,0.2,1.1016,OFF-EN-10001509,US-2015-150630
32,86.304,6,0.2,9.7092,OFF-AR-10004042,US-2015-150630
33,6.858,6,0.7,-5.715,OFF-BI-10001525,US-2015-150630
34,15.76,2,0.2,3.546,OFF-AR-10001683,US-2015-150630
35,29.472,3,0.2,9.9468,OFF-PA-10000249,CA-2017-107727
36,1097.544,7,0.2,123.4737,TEC-PH-10004977,CA-2016-117590
